,Elmis sp.,Androprosopa sp.,Atherix sp.,Blepharicera sp.,Ceratopogonidae,Cheilotrichia sp.,Diamesinae,Orthocladiinae,Dicranota sp.,Dixa puberula,Empididae,Elaeophila sp.,Erioptera sp.,Hapalothrix lugubris,Lispe sp.,Liponeura sp.,Pedicia sp.,Prosimulium sp.,Psychodidae,Rhabdomastix sp.,Rhypholophus sp.,Simulium sp.,Tipula sp.,Baetis alpinus,Ecdyonurus sp.,Epeorus alpicola,Rhithrogena sp.,Enchytraeidae,Eiseniella tetraedra,Gordius sp.,Haplotaxis sp.,Lumbriculidae,Mermithidae,Capnia sp.,Chloroperla sp.,Dictyogenus alpinus,Dictyogenus fontium,Isoperla sp.,Leuctra sp.,Nemoura mortoni,Perlodes sp.,Protonemura sp.,Rhabdiopteryx alpina,Siphonoperla sp.,Acrophylax zerberus,Allogamus auricollis,Allogamus uncatus,Annitella obscurata,Chaetopteryx major,Cryptothrix nebulicola,Drusus biguttatus,Drusus discolor,Drusus melanchaetes,Drusus mixtus,Drusus muelleri,Glossosoma sp.,Halesus rubricollis,Limnephilidae juv.,Melampophylax nepos,Philopotamus sp.,Polycentropodidae,Potamophylax cingulatus,Pseudopsilopteryx zimmeri,Rhyacophila sp.,Crenobia alpina,Sialidae
1_17,0,0,0,2,0,2,249,10,4,1,4,0,0,0,0,0,0,1,0,1,0,0,0,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,442,355,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2A_17,0,0,0,0,0,10,228,9,16,0,2,0,0,0,0,0,0,3,0,21,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,1,1,269,439,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,1,0
2B_17,0,0,0,0,0,0,228,5,12,0,1,0,0,0,1,0,0,1,0,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,2,226,355,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,5,0,0
2C_17,0,0,0,0,0,2,188,3,11,1,1,0,0,0,0,0,0,4,0,4,0,1,0,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,2,3,168,536,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2D_17,1,0,1,0,0,1,372,29,44,2,33,0,0,0,2,1,0,55,1,99,0,12,0,819,2,4,0,1,0,0,3,0,0,0,0,0,0,15,431,4,3,508,16,0,0,0,1,0,6,0,0,1,0,6,0,0,0,32,1,0,0,0,0,64,0,0
3_17,0,0,1,10,0,1,151,79,39,0,6,0,0,20,0,6,3,556,5,31,0,6,5,1303,0,41,5,1,0,1,0,0,0,0,0,17,0,28,192,92,0,173,3,3,0,0,0,0,0,0,0,0,0,58,0,1,19,106,0,0,0,4,0,54,0,0
1_18,0,0,0,0,0,0,16,66,12,0,4,1,2,0,1,0,0,1,0,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,1,1,281,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2A_18,0,0,0,0,0,0,19,28,14,0,8,0,2,0,0,0,0,0,0,4,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,179,623,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0
2B_18,0,0,0,0,0,2,4,34,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,2,1,130,180,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2C_18,0,0,0,0,0,2,9,16,7,0,0,0,0,0,1,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,222,131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D_18,2,0,0,0,0,3,13,52,17,0,20,0,0,1,2,0,0,4,0,70,0,3,0,188,0,2,1,5,0,0,5,0,0,1,0,2,0,13,37,1,1,366,5,1,3,0,0,0,0,0,0,4,0,9,0,0,0,5,0,0,0,0,0,39,0,0
3_18,0,0,1,1,1,0,10,88,20,0,5,1,3,7,1,1,2,4,0,80,0,2,1,266,3,11,10,11,0,1,0,0,0,0,0,9,0,60,69,7,2,121,2,1,1,0,0,0,0,0,0,15,0,30,0,0,0,40,0,1,0,1,0,33,0,0
1_19,0,0,0,0,0,1,422,26,6,0,6,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,5,578,155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2A_19,0,0,0,0,0,1,495,36,6,0,6,0,0,0,0,0,0,9,0,2,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,1,41,5,3,825,158,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0
2B_19,0,0,0,0,0,4,588,30,26,0,18,0,0,0,1,0,0,0,0,18,0,0,0,18,0,0,1,1,0,0,0,0,0,0,0,3,0,0,16,7,0,511,77,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0
2C_19,0,0,0,10,0,6,468,26,25,0,18,0,0,0,1,0,0,1,1,10,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,7,1169,149,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
2D_19,0,0,0,18,0,4,515,53,22,0,52,0,0,0,2,4,2,19,3,79,0,4,3,687,0,2,1,2,1,0,3,0,0,0,0,1,0,7,189,12,0,671,7,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,43,0,0
3_19,3,1,1,0,0,1,279,52,43,0,17,0,0,0,0,1,2,1,0,70,0,2,0,930,3,5,10,0,0,0,0,0,0,0,0,15,0,38,148,19,0,196,2,0,0,139,0,0,0,0,0,2,2,6,0,0,0,3,0,0,0,0,0,47,0,0
